UUdFd2xkZ2LD_gf7fabi4w,3,0,3
N-hmuPPHrTxDA_pQXgt9zQ,4,0,4
JutoVctnkeZimtFtfdj9aQ,2,0,2
a38O9SOg267dDgoacKUYag,2,0,2
yDIP7hyLsN5hfpaicjHDSw,4,0,4
m4Gw2d0_iWE3kyDhNtD0-g,2,1,3
UCvbFy7MCOKUebQztCTx1Q,2,0,2
0RlbWChoXr78-H6gs_SjEA,3,3,6
d29PqFN8IKXmGmcpKUU62w,2,0,2
EOtLvniLxNtPFzZjl5oXdg,3,1,4
Dp1VAj7SIb82CuwVDLah0Q,5,0,5
gnf-gwVLckuKdOaUqvVXng,1,1,2
_JG_kjfu3npEWIvy2HhZ9w,6,0,6
TRI4ZCk8caJckKkGTvzpIQ,3,0,3
yUXWpk-7WP9BRUwwCPC8tA,2,1,3
7Jut4P7kkrxDHDHC2hS4Ng,3,0,3
XGl6nL5I21Lm8XmkfnNvsw,2,1,3
3ytXCIYg6EN11k1dPBjFoA,2,1,3
4jvFXuAI5qyVX9NqwzstOg,2,1,3
uicUxmLWLImu1caCQchTnA,3,0,3
Bpiz6E-UzqCPsY_xcPV7dQ,4,1,5
6WS7rfA2SR_1QuOYAMn-_g,3,0,3
cjniLFVWyRh0QO9v5Ach7w,4,0,4
zjkNGe4NcWKPJIoHcy4QXg,1,1,2
OIOlMiMOJMuRyf86M4zh3A,2,0,2
jtkBfoit7ERfu5VhyDSXMA,1,2,3
pTNoKmIjo3BO-XDDYq8qcQ,2,0,2
sn3ru-DluchJZu4j8T8fLg,3,0,3
ST92fM460AQtyRmK6UWAzw,2,2,4
2Ol5IT7nu5WBm0ldD-ERKA,2,0,2
fJC3VOpsPnPkXkJaEo-RCw,3,0,3
Ilq3WhAZbOxVjHD2XZtgPg,3,3,6
uGe_xRi-bs7i2BxUZo5cRg,2,0,2
Up310reV6k3VsgfltnnK9Q,3,0,3
Nw1oIVVkiU5jU3dvrDqGyw,2,0,2
2qPeMxWSMtkg85POh_k9sQ,2,1,3
5cdOl0IBh58CWW9lDGyJOw,2,0,2
2B4ivsiWled8gdJ_7l3izQ,2,0,2
-yuJgdA16MI0lreBxxrsfw,2,0,2
gpDBMFyRvxOLX-GZ21QATQ,0,5,5
XoC1_jh4mF84g4Yb5MAqgw,7,0,7
ONo0ffn10iZQfRk0ZgK8pQ,1,3,4
AhDXwtPvLGWu1hX-44Uv_Q,1,0,1
qsv5cGr6ixyZZjFf4h1yBw,2,1,3
u1ardC8ADxzccyCCvwZu1g,2,0,2
KramfptRWKyQOm672d-w4Q,2,0,2
w-4Q2T_uLe66HNU8-4wapw,0,2,2
4_OjBv7bu4rRyjo-J1hATw,1,1,2
Wq0Msm1LQuNvbKpNefGp7A,3,0,3
j-js4-1xy9BUZtJ4_2zIqA,2,0,2
lLdbqsfjPOte1m_GNy8E6w,2,0,2
uExp0zLpyyz3Oaryng_Qeg,2,0,2
8WpmSPNeHncqqRf6ultGiQ,2,0,2
4Q4ugSPMpxhoRFiT2BdAKg,2,1,3
FhHrsahT7IEz5hoTJ5C8Lg,2,0,2
uOmrboDKfNuuMonu49o6og,3,1,4
DniEFvCXq39UpvVFVJEQjA,2,0,2
B8nDXstqrTsXAE_cGd_9vQ,2,1,3
amIKbXtk8TCoySw_xBjFKg,3,2,5
e_BpyOhqkaz1rjTQSXTfrA,1,2,3
NVDtHHhcyutR02bQyIehDw,3,1,4
SptRBfZ_NGrNKhdKLmqUFw,2,1,3
MmafQlWPPu0qbA7_1ayHNg,2,0,2
OZTTz-Or_dslISqrgyXXeg,0,2,2
Tx2Hy9Zp6H1_gLOhdg8_QA,2,3,5
yggyuN3FV_NiQCKfvN-b-Q,3,3,6
R-TFTJRdHz-DcD3gZp1Hug,2,0,2
30vqUczADsjH4g5jbpSplw,1,1,2
7hnxPXd18mfkAmRZ71SwmQ,2,0,2
gV8F5m9VghmpLEa1kJRTeg,2,0,2
hU8tPH9-KYfALnUQ6s4rBA,3,1,4
hF6KrTKdQBk0wDIkZmhFkA,2,0,2
appC_QBOPSKUbMbY7y4j4g,3,1,4
9BDhzID4YFmtXc8ntYkcVA,0,3,3
XE97ojT9YLYpT3ym1V4qRA,2,0,2
ZKOd-zp_TYTFzDc4C3gKfQ,2,0,2
qKppJT2CVmiqNRBfRxLtcA,3,0,3
w5j-P9rxfMZtkB0AqbyvzQ,1,1,2
xeJc9ZyVHfEz7tDoUjdBIw,1,3,4
yeuMWkSpaEYEV5beeMeqng,2,0,2
K3I3G4e2v5bqzWtkEJnxGg,3,0,3
9qDxlEmzsp_-_PTwBu6maw,2,2,4
c7hwytmur_DNYnzdBrz9ZA,3,0,3
S3nqYgU7Y4Hwm82oKof03w,0,2,2
IrC3G3wtRPycnfC-km706g,4,0,4
RR_pU9zatY4IVRlS43dCGw,2,0,2
hLj1MIAUF0KL3xqRtATA9w,2,0,2
qdbtpxgfYp0aBZdg4jEFIQ,2,2,4
9nPCKf268xToQ-eHK_cx3g,3,0,3
EHGFTQpcmQ4OOA2q9gSKng,4,1,5
TfuuaK5r2uRNID7mOUXeDg,4,0,4
RiJ7ERp0UkQqaOFsrSP4zw,1,1,2
sAg_sLbFfdtNzvHaMm1KOA,2,0,2
UIheA_lF0zqs4b8wLoLsTQ,2,0,2
